name,pricePerPerson,categorySlug,foodType,isGlobal,ingredients
"{""en"":""Gulab Jamun"",""hi"":""गुलाब जामुन"",""gu"":""ગુલાબ જામુન""}",20,dessert,veg,true,[]
"{""en"":""Rasgulla"",""hi"":""रसगुल्ला"",""gu"":""રસગુલ્લા""}",20,dessert,veg,true,[]
"{""en"":""Kheer"",""hi"":""खीर"",""gu"":""ખીર""}",25,dessert,veg,true,[]
"{""en"":""Halwa"",""hi"":""हलवा"",""gu"":""હળવો""}",30,dessert,veg,true,[]
"{""en"":""Jalebi"",""hi"":""जलेबी"",""gu"":""જલેબી""}",20,dessert,veg,true,[]
"{""en"":""Mohan Thal"",""hi"":""मोहन थाल"",""gu"":""મોહન થાળ""}",35,dessert,veg,true,[]
"{""en"":""Basundi"",""hi"":""बासुंदी"",""gu"":""બાસુંડી""}",40,dessert,veg,true,[]
"{""en"":""Ice Cream"",""hi"":""आइसक्रीम"",""gu"":""આઇસ ક્રીમ""}",30,dessert,veg,true,[]
"{""en"":""Masala Chai"",""hi"":""मसाला चाय"",""gu"":""મસાલા ચા""}",10,beverage,veg,true,[]
"{""en"":""Sweet Lassi"",""hi"":""मीठी लस्सी"",""gu"":""મીઠી છાશ""}",20,beverage,veg,true,[]
"{""en"":""Buttermilk (Chaas)"",""hi"":""छाछ"",""gu"":""છાશ""}",15,beverage,veg,true,[]
"{""en"":""Nimbu Pani"",""hi"":""नींबू पानी"",""gu"":""લીંબુ પાણી""}",15,beverage,veg,true,[]
"{""en"":""Cold Drink"",""hi"":""कोल्ड ड्रिंक"",""gu"":""કોલ્ડ ડ્રિંક""}",25,beverage,veg,true,[]
"{""en"":""Mineral Water"",""hi"":""मिनरल वाटर"",""gu"":""મિનરલ વૉટર""}",15,beverage,veg,true,[]
